external_post_id,source_url,raw_title,content_type,slug,calendar_year,academic_year,exam_month,grade_level,exam_type,subjects,resource_kinds,resource_count,confidence,publish_candidate,quarantine_kinds
1709,https://legendstudy.com/1709,"→ 2026년 6월 고2 모의고사 기출 - 문제, 답, 해설, 등급컷, 영어듣기 : 국어/영어/수학/한국사/사탐/과탐",exam,legendstudy-1709-main,2026,,6,2,national_mock,국어|수학|영어|한국사|통합과학|통합사회,answer_explanation|question,12,high,yes,resource_url_expiring
1708,https://legendstudy.com/1708,"→ [2026년 7월 시행] 2026학년도 7월 고3 모의고사 기출 - 문제, 답, 해설, 등급컷, 영어듣기 : 국어/영어/수학/사탐/과탐",exam,legendstudy-1708-main,2026,,7,3,national_mock,국어(언매)|국어(화작)|수학(기하)|수학(미적)|수학(확통)|영어|한국사|물리학1|물리학2|생명과학1|생명과학2|지구과학1|지구과학2|화학1|화학2|경제|동아시아사|사회문화|생활과윤리|세계사|윤리와사상|정치와법|한국지리,answer_explanation|question,46,high,yes,resource_url_expiring
1707,https://legendstudy.com/1707,"→ 2026년 6월 고1 모의고사 기출 - 문제, 답, 해설, 등급컷, 영어듣기 : 국어/영어/수학/한국사/사회/과학",exam,legendstudy-1707-main,2026,,6,1,national_mock,국어|수학|영어|한국사|통합과학|통합사회,answer_explanation|question,11,high,yes,resource_url_expiring
1706,https://legendstudy.com/1706,"→ [2026년 6월 시행] 2027학년도 6월 모의평가 문제, 답, 해설, 등급컷, 영어듣기 : 국어/영어/수학/한국사/사탐/과탐",exam,legendstudy-1706-main,2026,2027,6,3,evaluation_mock,국어(언매)|국어(화작)|수학(기하)|수학(미적)|수학(확통)|영어|한국사|물리학1|물리학2|생명과학1|생명과학2|지구과학1|지구과학2|화학1|화학2|경제|동아시아사|사회문화|생활과윤리|세계사|세계지리|윤리와사상|정치와법|한국지리,answer_explanation|question,47,high,yes,resource_url_expiring
1705,https://legendstudy.com/1705,"→ [2026년 5월 시행] 2026년 5월 고3 모의고사 - 문제, 답, 해설, 등급컷, 영어듣기 : 국어/영어/수학/한국사/사탐/과탐",exam,legendstudy-1705-main,2026,,5,3,national_mock,국어(언매)|국어(화작)|수학(기하)|수학(미적)|수학(확통)|영어|한국사|물리학1|물리학2|생명과학1|생명과학2|지구과학1|지구과학2|화학1|화학2|경제|동아시아사|사회문화|생활과윤리|세계사|세계지리|윤리와사상|정치와법|한국지리,answer_explanation|question,47,high,yes,resource_url_expiring
1704,https://legendstudy.com/1704,"→ 2026년 3월 고1 모의고사 기출 - 문제, 답, 해설, 등급컷, 영어듣기 : 국어/영어/수학/한국사/사회/과학",exam,legendstudy-1704-main,2026,,3,1,national_mock,국어|수학|영어|한국사|통합과학|통합사회,answer_explanation|question,12,high,yes,resource_url_expiring
1703,https://legendstudy.com/1703,"→ 2026년 3월 고2 모의고사 기출 - 문제, 답, 해설, 등급컷, 영어듣기 : 국어/영어/수학/한국사/사탐/과탐",exam,legendstudy-1703-main,2026,,3,2,national_mock,국어|수학|영어|한국사|통합과학|통합사회,answer_explanation|question,12,high,yes,resource_url_expiring
1702,https://legendstudy.com/1702,"→ [2026년 3월 시행] 2026년 3월 고3 모의고사 문제, 답, 해설, 등급컷, 영어듣기 - 국어/영어/수학/한국사/사탐/과탐",exam,legendstudy-1702-main,2026,,3,3,national_mock,국어(언매)|국어(화작)|국어|수학(확통)|수학(기하)|수학(미적)|수학|영어|한국사|물리학1|생명과학1|지구과학1|화학1|경제|동아시아사|사회문화|생활과윤리|세계사|세계지리|윤리와사상|정치와법|한국지리,answer_explanation|question,37,high,yes,resource_url_expiring
1700,https://legendstudy.com/1700,"→[2025년 11월 시행] 2026학년도 수능 기출 - 문제, 답, 해설, 등급컷, 영어듣기 : 국어/영어/수학/한국사/사회/과학",exam,legendstudy-1700-main,2025,2026,11,3,csat,국어(언매)|국어(화작)|수학(기하)|수학(미적)|수학(확통)|영어|한국사|물리학1|물리학2|생명과학1|생명과학2|지구과학1|지구과학2|화학1|화학2|경제|동아시아사|사회문화|생활과윤리|세계사|세계지리|윤리와사상|정치와법|한국지리,answer_explanation|question,48,high,yes,resource_url_expiring
1695,https://legendstudy.com/1695,"→ 2025년 10월 고1 모의고사 기출 - 문제, 답, 해설, 등급컷, 영어듣기 파일 : 국어/영어/수학/한국사/사회/과학",exam,legendstudy-1695-main,2025,,10,1,national_mock,국어|수학|영어|한국사|과학|통합사회,answer_explanation|question,12,high,yes,resource_url_expiring
1694,https://legendstudy.com/1694,"→ 2025년 10월 고2 모의고사 문제, 답, 해설, 등급컷, 영어듣기 - 국어/영어/수학/한국사/사탐/과탐",exam,legendstudy-1694-main,2025,,10,2,national_mock,국어|수학|영어|한국사|물리학1|생명과학1|지구과학1|화학1|경제|동아시아사|사회문화|생활과윤리|세계사|세계지리|윤리와사상|정치와법|한국지리,answer_explanation|question,34,high,yes,resource_url_expiring
1693,https://legendstudy.com/1693,"→ 2025년 10월 고3 모의고사 문제, 답, 해설, 등급컷, 영어듣기 - 국어/영어/수학/한국사/사탐/과탐",exam,legendstudy-1693-main,2025,,10,3,national_mock,국어(언매)|국어(화작)|수학(기하)|수학(미적)|수학(확통)|영어|한국사|물리학1|물리학2|생명과학1|생명과학2|지구과학1|지구과학2|화학1|화학2|경제|동아시아사|사회문화|생활과윤리|세계사|세계지리|윤리와사상|정치와법|한국지리,answer_explanation|question,48,high,yes,resource_url_expiring
1686,https://legendstudy.com/1686,"→ [2025년 9월 시행] 2026학년도 9월 모의평가 문제, 답, 해설, 등급컷, 영어듣기 - 국어/영어/수학/한국사/사탐/과탐",exam,legendstudy-1686-main,2025,2026,9,3,evaluation_mock,국어(언매)|국어(화작)|수학(기하)|수학(미적)|수학(확통)|영어|한국사|물리학1|물리학2|생명과학1|생명과학2|지구과학1|지구과학2|화학1|화학2|경제|동아시아사|사회문화|생활과윤리|세계사|세계지리|윤리와사상|정치와법|한국지리,answer_explanation|question,48,high,yes,resource_url_expiring
1685,https://legendstudy.com/1685,"→ 2025년 9월 고2 모의고사 기출 - 문제, 해설/정답, 등급컷, 영어듣기 등",exam,legendstudy-1685-main,2025,,9,2,national_mock,국어|수학|영어|한국사|물리학1|생명과학1|지구과학1|화학1|경제|동아시아사|사회문화|생활과윤리|세계사|세계지리|윤리와사상|정치와법|한국지리,answer_explanation|question,34,high,yes,resource_url_expiring
1684,https://legendstudy.com/1684,"→ 2025년 9월 고1 모의고사 기출 - 문제, 답, 해설, 등급컷, 영어듣기 파일",exam,legendstudy-1684-main,2025,,9,1,national_mock,국어|수학|영어|과학탐구|사회탐구,answer_explanation|question,10,high,yes,resource_url_expiring
